access_code,name,laboratory,tariff_code,quantity,more_info,position
BRIDGE 3,3 UNIT BRIDGE,N,8447,1,Provisional crown retainer,1
BRIDGE 3,3 UNIT BRIDGE,N,8145,1,Local anaesthesia- report per quadrant,2
BRIDGE 3,3 UNIT BRIDGE,N,8443,1,Crown retainer – ceramic,3
BRIDGE 3,3 UNIT BRIDGE,N,8398,1,Core build-up with pins,4
BRIDGE 3,3 UNIT BRIDGE,N,8109,4,Infection control/barrier techniques,5
BRIDGE 3,3 UNIT BRIDGE,N,8110,2,Sterilized instrumentation,6
BRIDGE 3,3 UNIT BRIDGE,N,8145,1,Local anaesthesia- report per quadrant,7
BRIDGE 3,3 UNIT BRIDGE,N,8107,4,Intraoral radiograph/image– periapical,8
BRIDGE 3,3 UNIT BRIDGE,N,8447,1,Provisional crown retainer,9
BRIDGE 3,3 UNIT BRIDGE,N,8419,1,Provisional pontic,10
BRIDGE 3,3 UNIT BRIDGE,N,8443,1,Crown retainer – ceramic,11
BRIDGE 3,3 UNIT BRIDGE,N,8415,1,Pontic – ceramic,12
BRIDGE 3,3 UNIT BRIDGE,N,8560,3,Cost of ceramic block,13
BRIDGE 3,3 UNIT BRIDGE,N,8570,3,Fabrication of computer generated ceramic restor,14
BRIDGE 3,3 UNIT BRIDGE,N,8146,2,Resin bonding for restorations,15
BRIDGE 3,3 UNIT BRIDGE,N,8398,1,Core build-up with pins,16
IP BRIDGE,3 UNIT IMPLANT BRIDGE,N,8109,4,Infection control/barrier techniques,1
IP BRIDGE,3 UNIT IMPLANT BRIDGE,N,8110,2,Sterilized instrumentation,2
IP BRIDGE,3 UNIT IMPLANT BRIDGE,N,8117,1,Diagnostic models,3
IP BRIDGE,3 UNIT IMPLANT BRIDGE,N,8107,4,Intraoral radiograph/image– periapical,4
IP BRIDGE,3 UNIT IMPLANT BRIDGE,N,8273,1,"Impression to repair or modify a denture, or oth",5
IP BRIDGE,3 UNIT IMPLANT BRIDGE,N,8304,1,Isolation of tooth/teeth – per arch,6
IP BRIDGE,3 UNIT IMPLANT BRIDGE,N,8546,2,Implant/abutment supported-porcelain/ ceramic cr,7
IP BRIDGE,3 UNIT IMPLANT BRIDGE,N,8415,1,Pontic – ceramic,8
IP BRIDGE,3 UNIT IMPLANT BRIDGE,N,8525,3,Fabrication of computer generated ceramic implan,9
IP BRIDGE,3 UNIT IMPLANT BRIDGE,N,8560,3,Cost of ceramic block,10
IP BRIDGE,3 UNIT IMPLANT BRIDGE,N,8670,2,Implant screw access closure,11
IP BRIDGE,3 UNIT IMPLANT BRIDGE,N,8600,2,Cost of implant components,12
ALIGNER 2,ALIGNER TREATMENT,N,B02,1,ALIGNER SUBSEQUENT,1
ALIGNER 2,ALIGNER TREATMENT,N,8109,8,Infection control/barrier techniques,2
ALIGNER 2,ALIGNER TREATMENT,N,8110,4,Sterilized instrumentation,3
ALIGNER 2,ALIGNER TREATMENT,N,8159,1,Prophylaxis (scaling and polishing) – complete d,4
ALIGNER 2,ALIGNER TREATMENT,N,8162,1,Topical application of fluoride – adult,5
ALIGNER 2,ALIGNER TREATMENT,N,8104,1,Extensive oral examination – condition focused c,6
ALIGNER 2,ALIGNER TREATMENT,N,8304,1,Isolation of tooth/teeth – per arch,7
ALIGNER 1,ALIGNERS INITIAL,N,8109,2,Infection control/barrier techniques,1
ALIGNER 1,ALIGNERS INITIAL,N,8110,1,Sterilized instrumentation,2
ALIGNER 1,ALIGNERS INITIAL,N,8304,1,Isolation of tooth/teeth – per arch,3
ALIGNER 1,ALIGNERS INITIAL,N,8117,1,Diagnostic models,4
ALIGNER 1,ALIGNERS INITIAL,N,8121,8,Diagnostic photograph/image,5
ALIGNER 1,ALIGNERS INITIAL,N,B01,1,ALIGNER TREATMENT PLAN,6
ALIGNER 1,ALIGNERS INITIAL,N,8104,1,Extensive oral examination – condition focused c,7
ANT RCT,ANTERIOR RCT,N,8338,1,"Root canal therapy, interiors and premo- lars -",1
ANT RCT,ANTERIOR RCT,N,8329,1,"Root canal therapy, anteriors and premo- lars -",2
ANT RCT,ANTERIOR RCT,N,8109,2,Infection control/barrier techniques,3
ANT RCT,ANTERIOR RCT,N,8110,1,Sterilized instrumentation,4
